20 100
2 3 9
7 10 15
7 11 48
16 5 44
11 14 3
8 5 29
3 8 48
11 20 15
7 6 39
18 6 42
6 18 14
1 11 4
3 11 31
2 16 43
14 20 13
8 12 24
2 14 39
1 17 25
20 3 43
5 2 29
15 13 27
10 13 32
4 10 2
4 8 49
12 4 32
5 7 11
13 10 2
9 10 17
2 5 9
14 12 24
3 20 34
10 12 44
10 17 4
17 8 42
10 2 2
5 18 26
15 9 49
13 2 16
16 3 26
20 4 36
10 18 6
6 8 17
11 16 41
1 20 1
19 7 33
9 19 29
12 16 19
6 14 29
12 6 11
15 2 33
4 3 28
4 15 30
14 20 39
12 1 19
12 8 18
19 4 17
19 16 19
16 18 27
17 19 28
2 4 47
20 7 49
2 16 22
20 19 25
20 14 22
3 10 22
13 18 1
20 6 46
14 5 23
13 2 34
18 8 36
17 20 38
10 3 42
5 12 18
10 5 44
18 3 27
11 1 49
18 10 28
19 12 2
12 9 40
10 15 18
3 1 24
10 4 38
15 20 45
15 12 4
6 18 6
4 6 19
16 2 3
11 3 8
17 14 5
11 5 12
8 20 12
8 2 30
7 6 29
6 18 3
20 14 30
1 6 43
16 7 41
1 6 28
13 2 19
13 1 17
